iter	Passed	Remaining
553	7658	6165
554	7675	6154
555	7700	6149
556	7717	6138
557	7733	6125
558	7758	6120
559	7781	6114
560	7797	6101
561	7825	6099
562	7834	6080
563	7871	6085
564	7893	6077
565	7915	6069
566	7937	6061
567	7958	6052
568	7986	6049
569	8004	6038
570	8029	6032
571	8053	6026
572	8080	6021
573	8102	6013
574	8123	6004
575	8151	6000
576	8167	5987
577	8180	5972
578	8196	5959
579	8219	5952
580	8248	5948
581	8265	5936
582	8283	5924
583	8304	5915
584	8320	5902
585	8333	5887
586	8343	5870
587	8359	5857
588	8370	5841
589	8377	5821
590	8382	5800
591	8388	5781
592	8397	5763
593	8404	5744
594	8411	5725
595	8422	5708
596	8435	5694
597	8445	5677
598	8450	5657
599	8458	5639
600	8467	5621
601	8476	5603
602	8480	5583
603	8490	5566
604	8498	5548
605	8506	5530
606	8514	5512
607	8522	5494
608	8527	5475
609	8535	5457
610	8541	5438
611	8548	5419
612	8555	5401
613	8565	5384
614	8577	5369
615	8589	5354
616	8600	5338
617	8605	5319
618	8615	5302
619	8625	5286
620	8635	5270
621	8645	5253
622	8650	5234
623	8655	5215
624	8660	5196
625	8664	5176
626	8669	5157
627	8674	5138
628	8683	5121
629	8692	5105
630	8699	5087
631	8704	5068
632	8708	5049
633	8715	5031
634	8726	5016
635	8737	5000
636	8747	4984
637	8761	4971
638	8772	4956
639	8783	4940
640	8796	4926
641	8806	4910
642	8819	4896
643	8833	4882
644	8842	4866
645	8846	4847
646	8852	4829
647	8871	4819
648	8878	4801
649	8882	4783
650	8889	4765
651	8893	4746
652	8900	4729
653	8904	4711
654	8909	4692
655	8913	4674
656	8917	4655
657	8923	4637
658	8927	4619
659	8932	4601
660	8937	4583
661	8940	4565
662	8945	4547
663	8951	4529
664	8959	4513
665	8967	4497
666	8971	4479
667	8981	4463
668	8986	4446
669	8992	4429
670	8998	4412
671	9007	4396
672	9011	4378
673	9015	4360
674	9020	4343
675	9024	4325
676	9029	4308
677	9034	4290
678	9038	4273
679	9044	4256
680	9048	4238
681	9053	4221
682	9062	4205
683	9069	4189
684	9078	4174
685	9085	4158
686	9091	4142
687	9096	4124
688	9109	4111
689	9114	4095
690	9123	4079
691	9128	4063
692	9133	4046
693	9139	4029
694	9161	4020
695	9170	4005
696	9175	3988
697	9180	3972
698	9186	3955
699	9191	3939
700	9200	3924
701	9213	3911
702	9224	3897
703	9236	3883
704	9243	3867
705	9247	3851
706	9256	3836
707	9264	3820
708	9270	3804
709	9276	3788
710	9282	3773
711	9287	3756
712	9293	3740
713	9299	3724
714	9305	3709
715	9310	3692
716	9319	3678
717	9328	3663
718	9333	3647
719	9337	3631
720	9342	3615
721	9349	3600
722	9354	3583
723	9368	3571
724	9373	3555
725	9379	3539
726	9390	3526
