地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/03/26,16:54:27.8,石川県能登地方,37°25.0′N,137°06.0′E,9 km,3.1,震度１
2024/03/26,08:01:08.2,鹿児島県薩摩地方,31°50.7′N,130°47.0′E,7 km,2.8,震度１
2024/03/26,05:51:10.0,青森県東方沖,41°09.2′N,141°51.4′E,67 km,3.2,震度１
2024/03/26,03:07:51.5,能登半島沖,37°08.8′N,136°43.0′E,4 km,1.7,震度１
2024/03/25,23:45:29.3,鹿児島県薩摩地方,31°50.8′N,130°47.0′E,7 km,2.8,震度２
2024/03/25,20:16:20.5,石川県能登地方,37°09.1′N,136°42.9′E,6 km,1.4,震度１
2024/03/25,10:58:04.3,石川県能登地方,37°27.2′N,137°08.8′E,9 km,3.0,震度２
2024/03/25,05:47:11.6,茨城県北部,36°27.9′N,140°35.7′E,55 km,3.3,震度１
2024/03/25,03:54:15.5,石川県能登地方,37°20.7′N,136°59.6′E,11 km,2.5,震度１
2024/03/25,03:37:00.1,長野県南部,35°55.7′N,138°04.4′E,4 km,2.8,震度１
2024/03/24,15:57:52.9,石川県能登地方,37°23.9′N,136°52.4′E,0 km,1.8,震度１
2024/03/24,15:53:51.2,石川県能登地方,37°23.8′N,136°52.5′E,6 km,2.9,震度３
2024/03/24,03:04:00.9,能登半島沖,37°08.0′N,136°39.0′E,6 km,2.0,震度１
2024/03/24,01:49:54.2,千葉県北西部,35°29.5′N,140°05.2′E,70 km,3.2,震度２
2024/03/23,21:05:23.1,千葉県南部,35°19.4′N,140°21.9′E,26 km,2.7,震度２
2024/03/23,20:17:11.1,石川県能登地方,37°13.8′N,136°49.4′E,11 km,2.7,震度１
2024/03/23,15:27:55.1,能登半島沖,37°31.5′N,137°11.1′E,10 km,2.0,震度１
2024/03/23,08:31:48.7,岐阜県美濃中西部,35°40.9′N,136°37.8′E,14 km,4.6,震度４
2024/03/23,02:56:02.8,能登半島沖,37°34.5′N,137°23.5′E,8 km,4.3,震度２
2024/03/22,19:23:02.4,石川県能登地方,37°09.9′N,136°45.3′E,4 km,2.3,震度１
2024/03/22,14:44:00.3,岩手県沖,40°21.8′N,142°12.1′E,46 km,4.3,震度２
2024/03/22,14:08:39.2,トカラ列島近海,29°09.5′N,129°11.0′E,12 km,2.2,震度１
2024/03/22,09:56:12.0,茨城県南部,36°10.5′N,139°53.8′E,66 km,3.2,震度１
2024/03/22,03:43:48.9,宮城県沖,38°14.1′N,141°43.1′E,52 km,3.4,震度１
2024/03/22,01:08:26.9,京都府南部,35°17.8′N,135°44.0′E,13 km,3.4,震度１
2024/03/21,18:21:33.7,トカラ列島近海,29°09.9′N,129°10.2′E,12 km,不明,震度１
2024/03/21,09:08:03.8,茨城県南部,36°02.9′N,139°53.2′E,46 km,5.3,震度５弱
2024/03/21,07:43:48.2,山梨県中・西部,35°19.6′N,138°29.0′E,17 km,2.6,震度２
2024/03/21,07:03:50.8,千葉県北東部,35°23.6′N,140°23.6′E,29 km,2.6,震度１
2024/03/20,08:54:06.8,熊本県阿蘇地方,32°58.1′N,131°06.3′E,9 km,3.1,震度２
2024/03/20,01:43:22.5,千葉県北東部,35°29.9′N,140°24.9′E,37 km,2.7,震度１
2024/03/20,01:37:40.6,石川県能登地方,37°11.3′N,136°50.4′E,10 km,2.5,震度１
2024/03/19,19:21:10.0,能登半島沖,37°32.9′N,137°16.3′E,10 km,2.9,震度１
2024/03/19,10:15:06.0,十勝沖,41°41.6′N,143°49.2′E,21 km,4.6,震度２
2024/03/19,01:12:34.7,鹿児島湾,31°18.8′N,130°38.8′E,124 km,3.9,震度１
2024/03/19,01:01:23.5,石川県能登地方,37°29.6′N,137°13.9′E,12 km,2.9,震度１
2024/03/18,18:49:27.7,千葉県北西部,35°38.2′N,140°04.2′E,72 km,3.7,震度２
2024/03/18,10:58:00.9,豊後水道,33°15.3′N,132°21.0′E,40 km,3.9,震度２
2024/03/18,10:07:05.5,豊後水道,33°15.2′N,132°20.8′E,40 km,3.1,震度１
2024/03/18,03:50:19.8,千葉県北西部,35°45.7′N,140°16.0′E,58 km,4.2,震度２
2024/03/18,02:25:14.8,福島県沖,37°09.6′N,141°25.8′E,44 km,3.9,震度３
2024/03/18,02:12:38.6,石川県能登地方,37°12.4′N,136°42.0′E,5 km,2.8,震度１
2024/03/17,17:57:07.5,千葉県東方沖,35°26.2′N,140°31.8′E,30 km,2.3,震度１
2024/03/17,14:31:52.0,千葉県東方沖,35°25.9′N,140°31.7′E,30 km,2.7,震度１
2024/03/17,12:38:34.7,東京都多摩東部,35°37.5′N,139°30.8′E,26 km,2.9,震度１
2024/03/17,09:48:34.4,青森県東方沖,41°25.4′N,141°46.9′E,68 km,3.4,震度１
2024/03/17,06:17:04.2,福島県沖,37°09.3′N,141°26.8′E,44 km,5.4,震度４
2024/03/16,23:49:40.3,京都府南部,34°55.1′N,135°40.0′E,12 km,2.4,震度１
2024/03/16,14:27:41.6,石川県西方沖,37°04.3′N,136°33.0′E,10 km,3.2,震度１
2024/03/16,14:13:21.5,能登半島沖,37°09.7′N,136°40.8′E,4 km,2.2,震度２
2024/03/16,08:32:06.5,石川県能登地方,37°22.1′N,136°51.6′E,9 km,2.4,震度１
2024/03/16,06:34:32.8,熊本県阿蘇地方,32°54.4′N,131°02.8′E,7 km,3.3,震度２
2024/03/15,20:04:01.7,奄美大島近海,28°30.3′N,130°12.1′E,35 km,4.9,震度２
2024/03/15,19:35:28.2,奄美大島近海,28°37.1′N,130°08.6′E,24 km,3.8,震度１
2024/03/15,19:34:09.2,奄美大島近海,28°32.4′N,130°05.9′E,31 km,4.7,震度３
2024/03/15,19:32:50.4,奄美大島近海,28°29.6′N,130°12.1′E,40 km,5.6,震度４
2024/03/15,19:28:09.8,石川県能登地方,37°29.5′N,137°13.8′E,9 km,3.6,震度２
2024/03/15,09:58:50.9,石川県能登地方,37°27.8′N,137°12.3′E,11 km,2.6,震度１
2024/03/15,05:07:21.5,胆振地方中東部,42°42.7′N,142°01.7′E,37 km,2.9,震度１
2024/03/15,00:14:36.0,福島県沖,37°04.3′N,141°09.8′E,50 km,5.8,震度５弱
2024/03/14,23:22:29.3,青森県東方沖,41°09.1′N,142°37.0′E,41 km,3.9,震度１
2024/03/14,21:05:03.0,能登半島沖,37°08.5′N,136°38.5′E,5 km,1.9,震度１
2024/03/14,18:37:51.6,青森県東方沖,41°29.9′N,142°02.7′E,57 km,4.1,震度２
2024/03/14,16:34:41.4,十勝地方北部,43°34.9′N,143°45.4′E,8 km,4.1,震度２
2024/03/14,16:05:58.2,石川県能登地方,37°13.4′N,136°43.3′E,4 km,2.9,震度１
2024/03/14,14:56:18.4,石川県能登地方,37°24.8′N,137°08.5′E,12 km,3.2,震度１
2024/03/14,12:49:39.0,能登半島沖,37°06.1′N,136°36.8′E,9 km,2.3,震度２
2024/03/14,11:07:00.5,能登半島沖,37°06.5′N,136°36.6′E,8 km,2.4,震度２
2024/03/14,10:18:01.9,石川県能登地方,37°16.5′N,136°51.1′E,9 km,2.7,震度１
2024/03/14,05:57:06.9,福島県会津,37°03.0′N,139°21.8′E,7 km,1.8,震度１
2024/03/14,04:54:39.3,茨城県南部,36°04.6′N,139°55.6′E,46 km,3.0,震度１
2024/03/14,03:05:17.0,宮崎県南部山沿い,31°55.9′N,130°59.0′E,8 km,2.5,震度１
2024/03/14,01:43:19.7,宮崎県南部山沿い,31°55.9′N,130°59.0′E,8 km,2.8,震度１
2024/03/13,20:24:42.7,福島県沖,37°05.6′N,141°07.8′E,51 km,4.7,震度４
2024/03/13,16:08:45.3,奄美大島近海,27°45.2′N,129°38.9′E,62 km,4.3,震度２
2024/03/13,10:10:49.8,福島県沖,37°09.5′N,141°27.3′E,44 km,3.6,震度１
2024/03/13,03:31:57.9,能登半島沖,37°07.7′N,136°41.2′E,6 km,4.1,震度３
2024/03/13,02:59:36.7,能登半島沖,37°07.0′N,136°38.1′E,7 km,2.0,震度１
2024/03/12,20:12:50.5,熊本県熊本地方,32°42.7′N,130°39.1′E,12 km,2.2,震度１
2024/03/12,14:10:18.4,石川県能登地方,37°12.1′N,136°44.6′E,7 km,2.7,震度１
2024/03/12,12:27:26.2,千葉県東方沖,35°23.2′N,140°24.7′E,30 km,3.0,震度３
2024/03/12,10:35:50.9,父島近海,27°31.9′N,142°19.8′E,43 km,4.2,震度１
2024/03/11,21:14:02.2,十勝地方北部,43°18.1′N,143°44.7′E,3 km,1.9,震度１
2024/03/11,16:53:32.4,能登半島沖,37°06.3′N,136°41.3′E,7 km,3.5,震度１
2024/03/11,11:32:19.6,奄美大島北東沖,29°03.8′N,129°52.0′E,52 km,3.8,震度１
2024/03/11,11:22:53.8,浦河沖,41°56.2′N,142°19.3′E,69 km,3.4,震度１
2024/03/11,09:29:53.4,石川県能登地方,37°23.5′N,136°52.8′E,6 km,1.9,震度１
2024/03/11,08:43:43.5,石川県能登地方,37°22.8′N,136°53.5′E,0 km,2.3,震度１
2024/03/11,02:03:24.7,福島県沖,37°48.3′N,141°37.7′E,56 km,3.7,震度１
2024/03/10,19:25:44.3,千葉県東方沖,35°22.1′N,140°28.8′E,27 km,2.6,震度１
2024/03/10,15:14:54.9,宮城県沖,37°57.2′N,141°44.8′E,55 km,4.3,震度２
2024/03/09,21:26:31.3,宮崎県北部平野部,32°25.9′N,131°31.4′E,12 km,3.3,震度２
2024/03/09,20:21:39.9,宮崎県北部平野部,32°25.8′N,131°31.4′E,13 km,3.5,震度２
2024/03/09,19:03:33.3,石川県能登地方,37°10.1′N,136°48.7′E,9 km,2.8,震度１
2024/03/09,18:09:06.4,能登半島沖,37°07.7′N,136°42.1′E,8 km,2.5,震度１
2024/03/09,16:56:21.3,釧路地方北部,43°36.3′N,144°24.1′E,5 km,1.1,震度１
2024/03/09,14:18:24.9,浦河沖,41°55.8′N,142°20.7′E,71 km,4.6,震度３
2024/03/09,12:47:25.3,石川県能登地方,37°25.0′N,137°06.3′E,12 km,3.8,震度２
2024/03/09,04:26:41.7,千葉県東方沖,35°23.4′N,140°25.2′E,28 km,4.4,震度４
2024/03/09,03:59:10.6,千葉県東方沖,35°23.7′N,140°24.7′E,28 km,2.5,震度２
2024/03/09,02:55:47.7,紀伊水道,34°12.9′N,135°05.1′E,9 km,3.6,震度３
2024/03/08,20:35:27.8,能登半島沖,37°21.3′N,136°42.0′E,8 km,3.5,震度１
2024/03/08,16:10:59.3,千葉県東方沖,35°22.7′N,140°24.6′E,27 km,2.7,震度２
2024/03/08,07:21:45.7,千葉県北東部,35°22.8′N,140°23.9′E,27 km,2.5,震度１
2024/03/08,05:54:53.6,岩手県沖,40°05.1′N,142°26.1′E,38 km,3.9,震度１
2024/03/08,02:58:18.4,伊豆半島東方沖,35°04.1′N,139°09.1′E,9 km,2.9,震度２
2024/03/08,02:50:48.2,石川県能登地方,37°12.6′N,136°52.2′E,11 km,2.7,震度２
2024/03/08,00:00:48.9,岩手県沖,40°08.5′N,142°27.5′E,39 km,4.3,震度１
2024/03/07,21:51:07.7,能登半島沖,37°08.3′N,136°38.6′E,6 km,1.8,震度１
2024/03/07,21:36:10.1,茨城県南部,36°11.7′N,140°01.7′E,52 km,3.2,震度１
2024/03/07,20:58:36.7,和歌山県北部,34°02.7′N,135°18.6′E,6 km,3.3,震度２
2024/03/07,20:54:16.0,能登半島沖,37°08.3′N,136°38.5′E,7 km,1.7,震度１
2024/03/07,19:36:05.7,紀伊水道,34°13.1′N,135°05.3′E,9 km,2.8,震度１
2024/03/07,17:14:07.0,宮崎県北部平野部,32°46.2′N,131°49.2′E,52 km,4.0,震度３
2024/03/07,16:43:58.2,石川県能登地方,37°23.0′N,136°55.9′E,7 km,2.3,震度１
2024/03/07,15:41:45.0,石川県能登地方,37°22.3′N,136°55.9′E,11 km,4.3,震度３
2024/03/07,14:25:44.4,宮崎県北部平野部,32°26.0′N,131°31.3′E,13 km,3.4,震度３
2024/03/07,14:19:10.8,宮崎県北部平野部,32°26.0′N,131°31.4′E,13 km,3.6,震度２
2024/03/07,11:28:02.6,紀伊水道,34°13.2′N,135°05.2′E,9 km,3.6,震度２
2024/03/07,07:32:39.0,千葉県東方沖,35°29.8′N,140°55.0′E,35 km,3.5,震度１
2024/03/07,05:40:27.3,山梨県東部・富士五湖,35°32.2′N,138°56.2′E,23 km,3.6,震度２
2024/03/07,02:29:44.4,奄美大島近海,28°30.6′N,129°04.4′E,17 km,3.3,震度１
2024/03/07,01:43:26.5,宮城県沖,37°54.5′N,141°45.2′E,60 km,3.8,震度１
2024/03/06,22:16:56.8,福島県沖,37°03.3′N,141°13.3′E,48 km,3.8,震度２
2024/03/06,17:09:43.1,千葉県北東部,35°30.7′N,140°25.1′E,33 km,3.3,震度３
2024/03/06,08:27:42.2,石川県能登地方,37°24.4′N,136°53.0′E,8 km,1.8,震度１
2024/03/06,08:21:01.8,茨城県南部,36°00.7′N,140°22.7′E,34 km,3.4,震度１
2024/03/06,04:25:35.7,能登半島沖,37°06.8′N,136°37.2′E,9 km,2.8,震度１
2024/03/05,21:59:38.5,石川県能登地方,37°22.1′N,137°05.5′E,12 km,3.2,震度１
2024/03/05,20:01:47.5,能登半島沖,37°07.3′N,136°40.1′E,8 km,3.3,震度２
2024/03/05,13:14:45.3,能登半島沖,37°34.6′N,137°27.2′E,13 km,3.5,震度１
2024/03/05,11:17:35.2,佐渡付近,37°44.9′N,137°39.2′E,19 km,4.2,震度１
2024/03/05,06:55:08.5,千葉県東方沖,35°25.9′N,140°31.3′E,29 km,2.7,震度１
2024/03/05,03:58:14.9,福島県沖,36°56.1′N,142°01.0′E,19 km,4.4,震度１
2024/03/05,02:36:06.1,千葉県東方沖,35°23.6′N,140°24.0′E,28 km,2.1,震度１
2024/03/05,02:06:23.7,千葉県南部,35°19.9′N,140°21.7′E,25 km,2.9,震度２
2024/03/05,01:30:44.7,千葉県南部,35°20.0′N,140°20.9′E,26 km,2.8,震度１
2024/03/04,21:42:33.5,石川県能登地方,37°29.5′N,137°14.2′E,13 km,3.3,震度２
2024/03/04,17:46:41.6,石川県能登地方,37°11.5′N,136°48.9′E,12 km,3.3,震度２
2024/03/04,17:31:20.5,能登半島沖,37°12.7′N,136°41.1′E,5 km,4.4,震度３
2024/03/04,14:53:03.3,能登半島沖,37°07.4′N,136°36.0′E,7 km,2.8,震度２
2024/03/04,13:03:47.0,愛知県西部,34°55.9′N,137°22.6′E,34 km,3.0,震度１
2024/03/04,06:03:42.7,熊本県熊本地方,32°43.8′N,130°48.8′E,14 km,2.8,震度１
2024/03/04,03:51:13.3,能登半島沖,37°06.1′N,136°37.1′E,8 km,3.4,震度２
2024/03/03,20:43:41.1,石川県能登地方,37°10.2′N,136°42.1′E,5 km,2.3,震度１
2024/03/03,19:23:51.7,能登半島沖,37°31.2′N,137°11.6′E,8 km,2.0,震度１
2024/03/03,18:22:37.3,石川県能登地方,37°25.3′N,137°09.3′E,10 km,3.2,震度１
2024/03/03,17:31:59.6,青森県東方沖,41°12.0′N,142°03.7′E,56 km,4.8,震度３
2024/03/03,13:08:50.7,千葉県東方沖,35°23.5′N,140°24.8′E,28 km,2.1,震度１
2024/03/03,08:09:55.0,奄美大島北西沖,28°46.8′N,128°16.9′E,159 km,4.8,震度１
2024/03/03,04:54:13.6,石川県能登地方,37°24.9′N,136°59.9′E,10 km,3.0,震度１
2024/03/03,04:40:51.2,千葉県東方沖,35°25.0′N,140°31.9′E,30 km,2.5,震度１
2024/03/03,02:34:29.0,石川県能登地方,37°11.5′N,136°48.1′E,9 km,2.7,震度１
2024/03/03,01:34:28.3,千葉県東方沖,35°25.2′N,140°31.8′E,30 km,2.8,震度１
2024/03/02,23:02:59.7,トカラ列島近海,29°55.4′N,130°03.1′E,9 km,2.3,震度１
2024/03/02,23:00:43.8,宮崎県北部平野部,32°26.1′N,131°31.4′E,13 km,4.3,震度４
2024/03/02,21:54:25.1,千葉県東方沖,35°23.3′N,140°24.9′E,28 km,2.0,震度１
2024/03/02,20:23:15.6,茨城県南部,36°02.6′N,139°54.1′E,44 km,3.8,震度３
2024/03/02,18:20:14.4,福島県沖,37°48.5′N,141°36.1′E,56 km,4.1,震度２
2024/03/02,16:31:18.5,北見地方,44°00.3′N,143°45.9′E,0 km,2.3,震度１
2024/03/02,10:49:03.3,石川県能登地方,37°23.3′N,136°52.5′E,0 km,1.9,震度１
2024/03/02,09:50:56.2,千葉県北東部,35°23.0′N,140°21.9′E,29 km,2.3,震度１
2024/03/02,09:44:51.6,千葉県南部,35°20.0′N,140°21.5′E,26 km,3.0,震度２
2024/03/02,07:13:57.8,千葉県東方沖,35°22.2′N,140°27.1′E,26 km,3.1,震度２
2024/03/02,03:56:27.7,福島県沖,36°58.2′N,141°20.8′E,17 km,3.8,震度１
2024/03/02,03:49:56.9,千葉県南部,35°19.3′N,140°21.5′E,25 km,3.0,震度２
2024/03/02,03:40:26.5,千葉県南部,35°19.5′N,140°21.5′E,25 km,4.4,震度３
2024/03/02,03:38:46.6,千葉県南部,35°19.8′N,140°21.1′E,25 km,3.8,震度３
2024/03/02,03:33:14.9,千葉県南部,35°19.4′N,140°21.1′E,24 km,2.9,震度２
2024/03/02,03:08:21.9,千葉県東方沖,35°30.3′N,140°31.8′E,31 km,3.0,震度２
2024/03/02,01:49:04.2,千葉県南部,35°18.9′N,140°20.8′E,26 km,5.0,震度４
2024/03/02,00:50:07.7,石川県能登地方,37°10.0′N,136°43.1′E,5 km,2.4,震度１
2024/03/01,22:41:37.8,千葉県南部,35°19.0′N,140°20.8′E,23 km,3.1,震度２
2024/03/01,21:44:55.8,青森県東方沖,41°11.2′N,141°41.9′E,80 km,4.1,震度２
2024/03/01,21:19:39.6,千葉県東方沖,35°25.4′N,140°31.9′E,30 km,3.0,震度２
2024/03/01,16:04:20.6,日高地方東部,42°20.2′N,143°00.2′E,52 km,3.6,震度１
2024/03/01,14:53:28.6,千葉県東方沖,35°23.1′N,140°29.6′E,28 km,2.5,震度１
2024/03/01,13:14:16.9,石川県能登地方,37°20.7′N,136°54.5′E,11 km,3.8,震度２
2024/03/01,05:43:16.6,千葉県東方沖,35°26.1′N,140°33.0′E,31 km,5.3,震度４
2024/03/01,05:38:37.3,千葉県南部,35°20.5′N,140°21.5′E,25 km,2.6,震度１
2024/03/01,05:35:03.3,千葉県南部,35°20.8′N,140°21.3′E,26 km,3.0,震度２
2024/03/01,01:01:54.5,茨城県南部,36°02.9′N,140°05.4′E,63 km,3.7,震度２
2024/03/01,00:37:39.0,石川県能登地方,37°10.8′N,136°43.9′E,4 km,2.6,震度１
2024/02/29,23:52:39.0,石川県能登地方,37°21.3′N,136°56.2′E,10 km,3.1,震度１
2024/02/29,18:35:42.0,千葉県東方沖,35°23.7′N,140°33.2′E,27 km,4.9,震度４
2024/02/29,17:55:06.4,秋田県内陸南部,39°55.6′N,140°51.2′E,4 km,2.9,震度１
2024/02/29,16:27:21.0,千葉県東方沖,35°23.2′N,140°33.1′E,29 km,4.6,震度３
2024/02/29,16:19:51.5,千葉県東方沖,35°23.1′N,140°33.1′E,29 km,3.0,震度１
2024/02/29,15:49:30.0,石川県能登地方,37°08.9′N,136°44.1′E,1 km,1.5,震度１
2024/02/29,12:30:39.1,千葉県東方沖,35°20.4′N,140°33.4′E,28 km,4.5,震度３
2024/02/29,11:25:12.9,千葉県東方沖,35°23.6′N,140°32.9′E,29 km,3.1,震度１
2024/02/29,11:13:08.8,千葉県東方沖,35°23.3′N,140°33.6′E,29 km,4.6,震度３
2024/02/29,10:37:29.8,石川県能登地方,37°12.9′N,136°48.4′E,10 km,2.9,震度１
2024/02/29,10:29:55.7,西表島付近,24°01.3′N,123°38.6′E,45 km,3.7,震度１
2024/02/29,08:45:54.5,千葉県東方沖,35°24.3′N,140°33.3′E,27 km,3.4,震度２
2024/02/29,08:42:47.3,千葉県東方沖,35°24.3′N,140°33.4′E,28 km,4.2,震度２
2024/02/29,08:40:16.3,千葉県東方沖,35°23.3′N,140°32.8′E,26 km,3.0,震度１
2024/02/29,04:15:34.2,千葉県東方沖,35°08.7′N,140°33.3′E,17 km,2.7,震度１
2024/02/28,22:59:59.9,石川県能登地方,37°28.8′N,137°15.0′E,10 km,2.7,震度１
2024/02/28,22:43:34.1,浦河沖,41°59.2′N,142°32.6′E,67 km,4.5,震度３
2024/02/28,21:26:44.1,留萌地方南部,44°02.7′N,142°02.1′E,0 km,2.4,震度１
2024/02/28,20:14:41.9,千葉県東方沖,35°22.3′N,140°31.1′E,28 km,3.3,震度１
2024/02/28,17:29:15.3,京都府南部,35°03.3′N,135°33.4′E,13 km,3.3,震度１
2024/02/28,17:13:05.6,福島県会津,37°25.4′N,139°41.6′E,4 km,2.3,震度１
2024/02/28,16:43:00.3,石川県能登地方,37°22.8′N,136°53.7′E,0 km,2.0,震度１
2024/02/28,16:41:51.3,石川県能登地方,37°23.8′N,136°52.6′E,7 km,2.1,震度１
2024/02/28,16:14:29.8,石川県能登地方,37°23.3′N,136°52.3′E,5 km,3.8,震度３
2024/02/28,16:05:43.5,宮城県沖,38°18.7′N,141°54.2′E,63 km,3.6,震度１
2024/02/28,12:05:58.0,千葉県東方沖,35°20.0′N,140°34.6′E,24 km,3.4,震度１
2024/02/28,07:09:40.0,石川県能登地方,37°18.5′N,136°59.1′E,9 km,2.6,震度１
2024/02/28,05:54:53.2,石川県能登地方,37°23.3′N,137°00.1′E,7 km,2.7,震度１
2024/02/28,04:12:45.9,北海道北西沖,44°23.3′N,141°39.7′E,10 km,1.9,震度１
2024/02/27,23:58:19.0,石川県能登地方,37°24.4′N,136°53.7′E,5 km,2.0,震度１
2024/02/27,23:15:34.4,石川県能登地方,37°24.3′N,136°52.0′E,8 km,1.5,震度１
2024/02/27,22:23:22.9,茨城県南部,36°19.4′N,140°02.0′E,72 km,3.4,震度１
2024/02/27,22:05:48.7,石川県能登地方,37°24.9′N,136°53.9′E,8 km,1.9,震度１
2024/02/27,21:43:56.4,千葉県東方沖,35°14.4′N,140°38.6′E,23 km,4.3,震度２
2024/02/27,21:00:05.1,石川県能登地方,37°24.0′N,136°54.2′E,7 km,1.4,震度１
2024/02/27,20:27:11.7,石川県能登地方,37°22.7′N,136°54.1′E,0 km,1.6,震度１
2024/02/27,17:35:15.3,石川県能登地方,37°24.2′N,136°54.4′E,7 km,1.7,震度１
2024/02/27,14:19:44.3,石川県能登地方,37°22.9′N,136°53.2′E,6 km,3.0,震度３
2024/02/27,14:10:21.9,石川県能登地方,37°23.1′N,136°53.3′E,6 km,2.9,震度３
2024/02/27,13:09:11.0,石川県能登地方,37°20.0′N,136°46.3′E,10 km,3.0,震度１
2024/02/27,11:46:51.1,岐阜県美濃中西部,35°47.5′N,136°50.0′E,9 km,2.8,震度１
2024/02/27,06:40:18.3,福島県沖,37°49.7′N,141°45.8′E,54 km,4.7,震度３
2024/02/27,03:30:21.3,沖縄本島近海,26°25.3′N,127°37.0′E,52 km,3.7,震度１
2024/02/27,03:19:59.4,千葉県北東部,35°44.6′N,140°38.4′E,50 km,3.1,震度１
2024/02/27,03:17:55.5,石川県能登地方,37°27.3′N,137°10.8′E,13 km,2.7,震度１
2024/02/26,22:20:20.4,茨城県沖,36°34.7′N,140°44.7′E,13 km,2.4,震度１
2024/02/26,15:24:13.5,伊予灘,33°38.5′N,132°28.2′E,47 km,5.1,震度４
2024/02/26,14:29:39.3,石川県能登地方,37°21.5′N,136°59.8′E,10 km,3.0,震度１
2024/02/26,08:44:22.2,岩手県沿岸北部,39°45.5′N,141°50.5′E,58 km,3.7,震度１
2024/02/26,08:06:37.4,茨城県南部,36°05.0′N,139°55.9′E,46 km,3.0,震度１
2024/02/26,03:39:49.1,石川県能登地方,37°27.7′N,137°10.1′E,12 km,3.1,震度１
2024/02/26,01:37:41.9,能登半島沖,37°25.4′N,136°53.2′E,10 km,1.6,震度１
2024/02/26,01:32:37.4,岐阜県飛騨地方,36°05.9′N,137°26.7′E,6 km,2.6,震度１
2024/02/25,23:47:31.0,石川県能登地方,37°21.3′N,136°52.5′E,6 km,2.4,震度１
2024/02/25,18:27:13.7,石川県能登地方,37°22.3′N,136°54.4′E,8 km,2.6,震度１
2024/02/25,15:27:12.8,福島県沖,37°50.5′N,141°36.7′E,50 km,3.8,震度１
2024/02/25,13:41:00.5,石川県能登地方,37°20.9′N,136°52.7′E,0 km,2.3,震度１
2024/02/25,11:30:48.6,能登半島沖,37°09.4′N,136°40.3′E,3 km,1.5,震度１
2024/02/25,09:28:10.0,奄美大島近海,28°04.5′N,129°21.3′E,39 km,4.0,震度２
2024/02/25,08:24:34.6,三重県南部,34°30.7′N,136°38.6′E,36 km,3.3,震度１
2024/02/24,21:09:18.6,豊後水道,33°09.0′N,132°13.6′E,44 km,3.2,震度１
2024/02/24,19:17:40.7,三陸沖,39°32.7′N,143°33.0′E,13 km,5.2,震度２
2024/02/24,16:43:51.6,沖縄本島近海,25°48.8′N,129°28.6′E,45 km,4.5,震度１
2024/02/24,12:57:53.0,宮城県沖,38°22.3′N,141°49.4′E,58 km,4.1,震度２
2024/02/24,08:10:42.3,東海道南方沖,32°12.7′N,137°40.2′E,416 km,5.3,震度１
2024/02/24,06:32:57.6,茨城県沖,36°11.0′N,141°00.6′E,39 km,3.5,震度１
2024/02/24,04:52:58.3,岩手県沖,39°36.5′N,142°26.7′E,30 km,3.5,震度１
2024/02/24,01:54:11.9,宮城県沖,38°32.3′N,141°44.1′E,53 km,3.5,震度１
2024/02/23,20:52:57.9,島根県東部,35°08.5′N,132°39.9′E,8 km,3.0,震度１
2024/02/23,20:21:11.9,熊本県熊本地方,32°42.2′N,130°37.0′E,10 km,2.9,震度１
2024/02/23,13:55:59.0,埼玉県南部,35°57.4′N,139°34.7′E,46 km,3.1,震度１
2024/02/22,18:55:53.2,能登半島沖,37°30.8′N,137°09.5′E,7 km,2.1,震度１
2024/02/22,13:22:40.5,宮古島近海,24°48.1′N,125°21.1′E,46 km,4.4,震度３
2024/02/21,22:32:53.7,石川県能登地方,37°29.2′N,137°13.1′E,9 km,2.7,震度１
2024/02/21,20:28:27.6,岩手県沖,40°21.9′N,142°12.4′E,46 km,3.7,震度１
2024/02/21,20:21:12.7,岩手県沖,40°22.1′N,142°12.0′E,46 km,3.9,震度１
2024/02/21,19:24:54.8,石川県能登地方,37°10.3′N,136°41.2′E,3 km,2.1,震度１
2024/02/21,18:38:51.8,トカラ列島近海,28°39.7′N,129°08.6′E,67 km,3.6,震度１
2024/02/21,18:27:29.6,愛媛県南予,33°12.4′N,132°39.8′E,37 km,3.9,震度３
2024/02/21,16:30:59.8,長野県南部,35°52.8′N,137°34.9′E,4 km,2.7,震度１
2024/02/21,11:34:04.2,石川県能登地方,37°28.8′N,137°17.8′E,13 km,3.3,震度３
2024/02/21,06:49:00.8,神奈川県西部,35°35.1′N,139°23.2′E,26 km,2.5,震度１
2024/02/21,06:12:25.6,東京都多摩東部,35°38.3′N,139°30.5′E,28 km,2.3,震度１
2024/02/21,03:58:27.8,石川県能登地方,37°31.4′N,137°15.2′E,11 km,3.4,震度２
2024/02/20,23:57:30.5,与那国島近海,23°40.6′N,123°16.2′E,47 km,5.4,震度１
2024/02/20,22:56:27.2,与那国島近海,23°40.7′N,123°16.5′E,47 km,5.2,震度１
2024/02/20,21:19:31.1,石川県能登地方,37°10.3′N,136°42.2′E,6 km,2.9,震度２
2024/02/20,15:30:40.3,石川県能登地方,37°09.7′N,136°52.1′E,11 km,3.0,震度１
2024/02/20,14:12:17.5,島根県東部,35°23.7′N,133°17.6′E,11 km,2.5,震度１
2024/02/20,13:40:25.2,石川県能登地方,37°15.3′N,136°44.7′E,8 km,2.8,震度１
2024/02/20,06:33:09.6,石川県能登地方,37°14.6′N,136°53.2′E,11 km,2.6,震度１
